id,name,length,capex,transformer_capex,fom,vom,lifetime,discount_rate,node_start,node_end,loss_factor,initial_capacity,max_build,min_build,unit_type,scenarios,near_optimum,range_group
132,MNE-ITA,1.0,942.0,0.0,14.13,0.0,60.0,0.05,MNE,ITA,0.0,1.2,12.0,0.0,dc_subsea_transmission,all,False,
133,NLD-BEL,1.0,175.0,0.0,2.625,0.0,60.0,0.05,NLD,BEL,0.009665981416031588,3.5,35.0,0.0,ac_ohl_transmission,all,False,
134,NLD-DEU,1.0,175.0,0.0,2.625,0.0,60.0,0.05,NLD,DEU,0.009665981416031588,8.5,42.5,0.0,ac_ohl_transmission,all,False,
135,NLD-DNK,1.0,942.0,0.0,14.13,0.0,60.0,0.05,NLD,DNK,0.0,0.7,28.0,0.0,dc_subsea_transmission,all,False,
136,NLD-GBR,1.0,942.0,0.0,14.13,0.0,60.0,0.05,NLD,GBR,0.0,1.0,40.0,0.0,dc_subsea_transmission,all,False,
137,NLD-NOR,1.0,942.0,0.0,14.13,0.0,60.0,0.05,NLD,NOR,0.0,0.7,28.0,0.0,dc_subsea_transmission,all,False,
138,NOR-FIN,1.0,175.0,0.0,2.625,0.0,60.0,0.05,NOR,FIN,0.009665981416031588,0.05,2.0,0.0,ac_ohl_transmission,all,False,
139,NOR-SWE,1.0,175.0,0.0,2.625,0.0,60.0,0.05,NOR,SWE,0.009665981416031588,4.098,40.98,0.0,ac_ohl_transmission,all,False,
140,NOR-DEU,1.0,942.0,0.0,14.13,0.0,60.0,0.05,NOR,DEU,0.0,1.4,14.0,0.0,dc_subsea_transmission,all,False,
141,NOR-DNK,1.0,942.0,0.0,14.13,0.0,60.0,0.05,NOR,DNK,0.0,1.7,17.0,0.0,dc_subsea_transmission,all,False,
142,NOR-GBR,1.0,942.0,0.0,14.13,0.0,60.0,0.05,NOR,GBR,0.0,3.4,34.0,0.0,dc_subsea_transmission,all,False,
143,NOR-NLD,1.0,942.0,0.0,14.13,0.0,60.0,0.05,NOR,NLD,0.0,0.7,28.0,0.0,dc_subsea_transmission,all,False,
144,POL-CZE,1.0,175.0,0.0,2.625,0.0,60.0,0.05,POL,CZE,0.009665981416031588,2.1,21.0,0.0,ac_ohl_transmission,all,False,
145,POL-DEU,1.0,175.0,0.0,2.625,0.0,60.0,0.05,POL,DEU,0.009665981416031588,5.1,25.5,0.0,ac_ohl_transmission,all,False,
146,POL-LTU,1.0,175.0,0.0,2.625,0.0,60.0,0.05,POL,LTU,0.009665981416031588,1.0,40.0,0.0,ac_ohl_transmission,all,False,
147,POL-SVK,1.0,175.0,0.0,2.625,0.0,60.0,0.05,POL,SVK,0.009665981416031588,0.6,24.0,0.0,ac_ohl_transmission,all,False,
